method,instance,cpuTime,rawMVP,outerIterations,proxResidual,relativeRecoveryError,relativeFunctionGap,success
PSSgb-L-BFGS,1,0.1785319,12,5,0.054502640880126,0.170059963520032,0.00904421100471364,1
PSSgb-L-BFGS,2,0.1760675,12,5,0.042701684996132,0.152493172020309,0.00578333484524496,1
PSSgb-L-BFGS,3,0.1759081,12,5,0.0533873915157128,0.151874438723771,0.00820396410107094,1
PSSgb-L-BFGS,4,0.2057984,14,6,0.0220601901094216,0.14898141209317,0.0016534526584101,1
PSSgb-L-BFGS,5,0.2065078,14,6,0.0229769007935602,0.129399614943722,0.00150785939515075,1
PSSgb-L-BFGS,6,0.1756756,12,5,0.035361457023031,0.175838516743043,0.00497342847977778,1
PSSgb-L-BFGS,7,0.1768807,12,5,0.0333731551275767,0.167400292849346,0.0043437551205403,1
PSSgb-L-BFGS,8,0.1839212,12,5,0.054785613157258,0.1656530171965,0.00880839659139787,1
PSSgb-L-BFGS,9,0.1663328,12,5,0.0502695859173411,0.161373836620561,0.00837934774845106,1
PSSgb-L-BFGS,10,0.2002686,14,6,0.0237142699323261,0.134209349970756,0.0019696169804051,1
PSSgb-CG,1,0.4451874,114,6,0.0184816566156004,0.151164771319477,0.00128588451546041,1
PSSgb-CG,2,0.4308421,112,6,0.00997420130029567,0.130655678130316,0.000359019593288545,1
PSSgb-CG,3,0.4697666,114,6,0.0306930078770448,0.142966178620055,0.0033614904585364,1
PSSgb-CG,4,0.4642651,116,6,0.0314070450967913,0.155784903102276,0.00309944921726424,1
PSSgb-CG,5,0.4802705,118,6,0.0429659788299089,0.15728577633303,0.00692424599970154,1
PSSgb-CG,6,0.4083404,108,6,0.00572298700197176,0.143986640564927,0.000128758742496182,1
PSSgb-CG,7,0.4132531,110,6,0.00458020779221234,0.138017933224297,8.09414244220541e-05,1
PSSgb-CG,8,0.4635448,116,6,0.0232288047356995,0.146985793828686,0.00186303173991442,1
PSSgb-CG,9,0.4505212,116,6,0.03229602249796,0.154377077142574,0.00395810690481535,1
PSSgb-CG,10,0.4762227,118,6,0.0500474583256303,0.157235276504666,0.00813815477964175,1
FAST-2CDA-E,1,0.2674784,4,3,0.00190158982486132,0.134029809274075,1.51298547911294e-05,1
FAST-2CDA-E,2,0.2602535,4,3,0.00244167484310309,0.122789073959285,2.52296650502526e-05,1
FAST-2CDA-E,3,0.2618757,4,3,0.00168986925098896,0.119468633916209,1.21064658227255e-05,1
FAST-2CDA-E,4,0.2608345,4,3,0.00286371892127469,0.134448957029572,3.3564944466935e-05,1
FAST-2CDA-E,5,0.2614137,4,3,0.00205202922671988,0.118252763099565,1.73445299239683e-05,1
FAST-2CDA-E,6,0.2606441,4,3,0.00217431682569442,0.13990555680528,1.99045659956543e-05,1
FAST-2CDA-E,7,0.263586,4,3,0.00152996022968194,0.134318784806919,9.85988680146654e-06,1
FAST-2CDA-E,8,0.2643521,4,3,0.00221196223348798,0.128770181474561,1.9413570058302e-05,1
FAST-2CDA-E,9,0.2561474,4,3,0.00132620035207593,0.121992159300087,7.34768235644001e-06,1
FAST-2CDA-E,10,0.2635942,4,3,0.00264196955064433,0.120298577826061,2.91029826736677e-05,1
SpaRSA,1,0.3915604,28,8,0.00589834794209958,0.134692763664505,0.000134119809937605,1
SpaRSA,2,0.4005984,28,8,0.00764000675567059,0.126507169624285,0.000212590441263205,1
SpaRSA,3,0.3950178,28,8,0.00712139719189672,0.12441538012795,0.000186545955364048,1
SpaRSA,4,0.3988839,28,8,0.00888771849604493,0.135985978747563,0.000298907524211911,1
SpaRSA,5,0.3956282,28,8,0.00820452581114306,0.122202574206914,0.000248836445348566,1
SpaRSA,6,0.3140486,22,6,0.0487320428126702,0.0812947691209677,0.00995417668660314,1
SpaRSA,7,0.3119053,22,6,0.0479607351157952,0.0827266982859244,0.00894952206314037,1
SpaRSA,8,0.3962603,28,8,0.0075717573278092,0.130182569486916,0.000213869250750176,1
SpaRSA,9,0.3785579,28,8,0.00715681966136473,0.126169841842151,0.000186240058159592,1
SpaRSA,10,0.3960691,28,8,0.00834929468762859,0.123598545635138,0.000253344764253094,1
TMAP-CG,1,0.1340439,56,3,0.00455239320919637,0.129301445857217,8.30677477651198e-05,1
TMAP-CG,2,0.1337615,54,3,0.00364125786630763,0.119207228799972,5.38228546558273e-05,1
TMAP-CG,3,0.1449512,56,3,0.00618930936491422,0.113275883725262,0.000146912907251884,1
TMAP-CG,4,0.1437001,56,3,0.00636884179680281,0.129373192598099,0.000163894829075639,1
TMAP-CG,5,0.1469964,56,3,0.00676078665674501,0.111205879398095,0.000180760961704274,1
